epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.106,5.21688,12.5542,4.34848,0,0,0,0,5.6942,10.041,4.16826,0.00032867,0.00032867,0.00032867
2,607.053,4.40257,9.60126,3.88116,0,0,0,0,5.71448,9.19996,4.20555,0.000645033,0.000645033,0.000645033
3,894.3,3.08234,6.34216,2.97965,0,0,0,0,5.75964,8.86258,4.28849,0.000934234,0.000934234,0.000934234
4,1186.44,2.73619,5.27819,2.44947,0,0,0,0,5.64493,8.47742,4.20132,0.00119627,0.00119627,0.00119627
5,1478.81,2.45992,4.46027,2.23436,0.70164,0.01075,0.01606,0.00521,3.60613,6.47783,3.06517,0.00120265,0.00120265,0.00120265
6,1774.19,2.33691,3.95259,2.10282,0.34125,0.16301,0.18846,0.08466,2.54411,4.53944,2.35382,0.00114606,0.00114606,0.00114606
7,2073.17,2.09242,3.37056,1.90904,0.39931,0.45115,0.33837,0.17167,1.83291,3.48682,1.87521,0.00108947,0.00108947,0.00108947
8,2371.38,2.09238,3.10633,1.92145,0.44712,0.4334,0.38827,0.18344,1.7868,3.08495,1.81866,0.00103288,0.00103288,0.00103288
9,2671.9,1.96054,2.82543,1.74187,0.44589,0.55267,0.51159,0.27486,1.6949,2.50375,1.6571,0.000976293,0.000976293,0.000976293
10,2976.68,1.98944,2.57812,1.71008,0.29128,0.55709,0.49802,0.27763,1.62535,2.47481,1.6092,0.000919704,0.000919704,0.000919704
11,3295.67,1.85415,2.44919,1.62668,0.4537,0.57399,0.49109,0.25772,1.61837,2.3356,1.58024,0.000863116,0.000863116,0.000863116
12,3599.4,1.8749,2.39743,1.59736,0.51892,0.59963,0.54706,0.26021,1.68778,2.25915,1.55388,0.000806528,0.000806528,0.000806528
13,3923.27,1.76636,2.18105,1.57448,0.53983,0.66346,0.59921,0.32132,1.55319,1.99362,1.47743,0.000749939,0.000749939,0.000749939
14,4236.58,1.76499,2.00009,1.48228,0.49655,0.65629,0.59955,0.34937,1.50209,1.92064,1.46293,0.000693351,0.000693351,0.000693351
15,4556.69,1.73955,1.9536,1.47825,0.58773,0.74334,0.63003,0.34496,1.55118,1.84158,1.48356,0.000636762,0.000636762,0.000636762
16,4870.01,1.70244,2.20806,1.54006,0.59313,0.67716,0.63944,0.35348,1.50918,1.80522,1.40248,0.000580174,0.000580174,0.000580174
17,5176.27,1.57371,2.04964,1.4794,0.60365,0.7152,0.65912,0.3972,1.46756,1.71281,1.38049,0.000523586,0.000523586,0.000523586
18,5481.84,1.58336,1.92129,1.47312,0.56711,0.70389,0.63781,0.37079,1.47315,1.76516,1.36893,0.000466997,0.000466997,0.000466997
19,5774.54,1.53267,1.88201,1.48422,0.59126,0.71546,0.65118,0.389,1.44234,1.65846,1.35458,0.000410409,0.000410409,0.000410409
20,6071.12,1.56556,1.83836,1.46736,0.65052,0.76339,0.68326,0.40463,1.45348,1.58304,1.32687,0.00035382,0.00035382,0.00035382
21,6405.37,1.55194,1.7601,1.46124,0.63417,0.7946,0.70413,0.43149,1.38383,1.49045,1.30544,0.000297232,0.000297232,0.000297232
22,6713.49,1.49189,1.66135,1.42014,0.65717,0.83924,0.73577,0.43948,1.37551,1.48346,1.29911,0.000240644,0.000240644,0.000240644
23,7024.33,1.45365,1.67238,1.39075,0.67033,0.84078,0.75393,0.47008,1.35206,1.42038,1.287,0.000184055,0.000184055,0.000184055
24,7327.76,1.44868,1.609,1.36964,0.70619,0.84789,0.76232,0.47878,1.33253,1.39277,1.26947,0.000127467,0.000127467,0.000127467
25,7675.13,1.45445,1.6101,1.37324,0.71632,0.85,0.76891,0.48157,1.31504,1.36185,1.25713,7.08784e-05,7.08784e-05,7.08784e-05
